Chat,Time,ID,Text
6,107053922.8,Edgwired,i use my dv cam
6,107053928.1,Edgwired,but it doesn't actually record anymore'
6,107053933.4,Edgwired,i have to go stright to the powerbook
6,107054008.1,Not,ur cam work?
6,107054029.4,Edgwired,"yup, if i hooked it up it should"
6,107054083.9,Not,nice
6,107054100.1,Edgwired,i made a short film in the bath on friday
6,107054101,Edgwired,LOL
6,107054436.7,Not,send it to me
6,107054488,Edgwired,http://www.neocyde.net/gettingclean_medres.mov
6,107054499.1,Edgwired,make sure you have the sound on
6,107054973.2,Not,nice
6,107054982,Edgwired,tx
7,107056646.7,Not,oh hey
7,107056651.1,Not,sorry was on the phone
7,107056655.8,Edgwired,np
7,107056666.5,Not,u should have stood up
7,107056671.2,Edgwired,haha
7,107056684.3,Not,would have been a much better movie
7,107056685,Edgwired,then it wouldn't be art so much as porn'
7,107056698.1,Not,porn?
7,107056700,Not,nah
7,107056712.6,Not,nothing wrong with the male body
7,107056719.3,Not,its not sex
7,107056735.2,Not,u know that eh greeks werre naked all the time
7,107056753.2,Not,the thought the human body is beautiful
7,107056757.2,Not,y hide it
7,107056763.7,Not,I TOTALLY AGREE
7,107056766.7,Edgwired,i do as well
7,107056783.5,Edgwired,"however, i made it for public consumption"
7,107056784.6,Edgwired,and
7,107056786.4,Edgwired,certain things
7,107056788.3,Edgwired,i like to save
7,107056792.7,Edgwired,for special people
7,107056805.4,Edgwired,it's like'
7,107056821.4,Edgwired,some of the friends i have that aren't my best friends'
7,107056841.7,Edgwired,wouldn't appreciate it the way i''d expect them to'
7,107056848.8,Not,lol
7,107056854.9,Not,yea
7,107056936,Edgwired,have you been on camera before?
7,107057320,Not,yeah of course
7,107057348,Edgwired,i shot a video once with this kid Frankie
7,107057362,Edgwired,but that was really the only one that i've kept'
7,107057368.7,Edgwired,his picture is on my site
7,107057376.4,Edgwired,and is actually a still from the video
7,107057462.5,Not,what kind of video
7,107057472.6,Edgwired,mostly just us messing around
7,107057485.2,Edgwired,my friend Tom filmed part of it
7,107057488.6,Edgwired,and we filmed the rest
7,107057514.3,Not,wow
7,107057530.3,Not,no i haven't had that kind of movie'
7,107057545.8,Edgwired,haha
7,107057554.9,Edgwired,"yeah, i only keep one copy"
7,107057936.1,Not,i have never done one of those
7,107057948,Edgwired,would you?
7,107058018,Not,nah
7,107058049.3,Edgwired,you would if it was just yourself?
7,107058067.1,Not,just think that it might get into the wrong hands someday
7,107058072.6,Edgwired,right
7,107058075.7,Not,don't want any evidence'
7,107058078.7,Edgwired,haha
7,107058087.5,Edgwired,and what's this about me standing up in the tub?'
7,107058120,Not,lol
7,107058131,Not,well...maybe in person then
7,107058140.7,Edgwired,that's the idea'
7,107058264.7,Not,haha
7,107058281.4,Not,u should like someone i could hang out with
7,107058316.6,Edgwired,i'm game'
7,107058317.5,Not,could definitely be friends if not more
8,119828419.5,Edgwired,hi
8,119828424.1,Edgwired,it's neocyde'
8,119828431.3,Edgwired,"(,Mikee,)"
8,119828431.8,Not,hey whats up?
8,119828450.8,Edgwired,not much chief
8,119828459.6,Edgwired,getting some email done
8,119828461.8,Edgwired,what's up with you?'
8,119828491.8,Not,nothin at all bored out of my mind....
8,119828503.8,Edgwired,you're way the hell out in Lancaster'
8,119828506.9,Edgwired,i can see why
8,119828512,Edgwired,you're pretty cute'
8,119828518.4,Edgwired,you could have some fun down my way
8,119828525,Not,you are too....
8,119828540.6,Not,what part of philly do you live in?
8,119828558.8,Edgwired,the gborhood
8,119828616.2,Not,thats kool me and my ex were goin to move here or near it i dont know really it was 13 and locus i think
8,119828643.5,Edgwired,who was your ex?
8,119828669.4,Not,daniel hofnick
8,119828695.4,Not,please tell me you dont know him
8,119828700.2,Edgwired,i don't know him'
8,119828701.5,Edgwired,should i?
8,119828761.9,Not,i dont know but i hate when people know my exs.... he worked at the 30th street train station at fye
8,119828783.4,Edgwired,how old?
8,119828791.7,Not,23
8,119828796.8,Not,24 im sorry
8,119828804.4,Edgwired,how long were you together?
8,119828835.3,Not,a year
8,119828884.5,Edgwired,are you in school?
8,119828929.8,Not,not anymore.... im working full time
8,119828944.8,Not,are you in school?
8,119828948,Edgwired,nah
8,119828949.5,Edgwired,i graduated
8,119828951,Edgwired,from Penn
8,119828998,Not,thats kool.... i have my ged.... i hated school but i might go back someday
8,119829020.6,Edgwired,i wish my sister would get hers early and just stop going
8,119829023.1,Edgwired,she hates it too
8,119829065.1,Not,yea
8,119829075.7,Edgwired,what kind of job do you have?
8,119829137.5,Not,i work a a dinner theater
8,119829145.3,Edgwired,no shit
8,119829148,Edgwired,i wonder what that' slike'
8,119829211,Not,its not bad but i get to see shows alot.... i spot the shows so i know every word to gypsy
8,119829231.6,Edgwired,sweet!
8,119829241.6,Edgwired,when did you learn how?
8,119829271,Not,to spot?
8,119829277.1,Edgwired,yeah
8,119829323.6,Not,when the show started i was trained
8,119829329.3,Edgwired,ahhh
9,119829541.5,Not,hey sory about that i got kicked off
9,119829548.4,Edgwired,no worries
9,119829561.6,Not,i really hate my computer
9,119829572,Edgwired,y?
9,119829607.9,Not,i always kicks me off and its so old i really cant do anything on it
9,119829626.2,Edgwired,i kno what that's like'
9,119829634.4,Edgwired,i was using an old Pentium for a while
9,119829653.2,Not,yea'
9,119829682.6,Not,so do you work?
9,119829688.3,Edgwired,some
9,119829698.7,Edgwired,mostly office bullshit
9,119829909.7,Not,brb
10,119830003.5,Not,back
10,119830009.6,Edgwired,welcome back
10,119830014.5,Not,thanks
10,119830048,Not,so what do you do?
10,119830066.3,Edgwired,mostly an office monkey
10,119830076.4,Not,thats kool
10,119830081.5,Edgwired,not bad
10,119830084.1,Edgwired,it pays the bills
10,119830092.1,Not,yea
10,119830120.6,Not,so what are you into? like what do you like to do for fun?
10,119830156.3,Edgwired,i like to read. my roommates are djs so we go out dancing a good bit. i'm also an artist and draw a lot'
10,119830173.8,Edgwired,are you into theater arts?
10,119830228.2,Not,im getting into it... but i like takeing picture more i like to be behind the sceen
10,119830239.9,Edgwired,you're a photographer?'
10,119830246.4,Not,i try
10,119830256.4,Edgwired,are any of them digital?
10,119830325.9,Not,i had some but my computer is shit so i dont have then now
10,119830366.7,Edgwired,so listen
10,119830370.1,Edgwired,ii'm gonna jump off'
10,119830379.6,Not,ok
10,119830399.4,Edgwired,pleasure to meet you
10,119830403.4,Edgwired,hit me up again sometime
10,119830410,Not,if you see me on IM me
10,119830414.6,Edgwired,kool
10,119830415.4,Edgwired,laters
10,119830418.2,Not,ok i will bye babe
11,119838331.1,Not,hey sexy
11,119838334.8,Edgwired,hi
11,119838343.7,Not,whats up?
11,119838350.7,Edgwired,looking for some fonts
11,119838352.9,Edgwired,what's up with you?'
11,119838366.7,Not,nothin at all bored still.....
11,119838389.5,Edgwired,how can i entertain you?
11,119838439.6,Not,i dont know its nice to get to know someone
11,119838494.3,Edgwired,do you watch TV?
11,119838507.8,Not,yeah
11,119838530.4,Edgwired,i'm watching West Wing'
11,119838533.5,Edgwired,it cracks me up
11,119838556.6,Not,i never got into that
11,119838565.4,Edgwired,i don't get to watch much'
11,119838583.9,Edgwired,but we usually keep it on Bravo
11,119838590,Not,im more of a movie person
11,119838595.9,Edgwired,which movie?
11,119838636,Not,all movies.... ive seen soo many
11,119838645.7,Edgwired,what have you seen last?
11,119838709.1,Not,umm..... i watched taxes chainsaw massacure today and camp.... thats just what i watched taday
11,119838721.4,Edgwired,whoa
11,119838724.4,Edgwired,how do you find the time?
11,119838773.7,Not,well it was my day off today... and after work i watch one so yeah i think ive seen almost everything
11,119838860.9,Edgwired,i think my favorite is still Who's Afraid of Virginia Woolf'
12,119839022.5,Not,sorry i got kicked off
12,119839027.8,Edgwired,no worries
12,119839047.9,Not,ok
12,119839088.6,Not,"so what are you looking for friends, boyfriend, sex?"
12,119839121.7,Edgwired,i like interaction however it comes
12,119839140.3,Not,thats kool
12,119839179.7,Edgwired,what takes you to g.com?
12,119839200.6,Not,g.com?
12,119839208.6,Edgwired,gay.com
12,119839214.5,Edgwired,oh right
12,119839217.3,Edgwired,manhunt
12,119839254.1,Not,yeah.... mostly i just like to look at the guys but theres something about you that made me want to talk to you
12,119839292.7,Not,brb i have to restart my computer....
12,119839295.1,Edgwired,ok
13,119840000.4,Not,hey
13,119840006.2,Edgwired,hi again
13,119840036.1,Not,so what do you like to read?
13,119840046,Edgwired,i just read the last Dart Tower by Stephen King
13,119840051.3,Edgwired,I also like Hermann Hesse
13,119840055.8,Edgwired,and C.S. Lewis
13,119840077.4,Not,iris johanson?
13,119840103.2,Edgwired,haven't run across her yet'
13,119840103.3,Not,johansen
13,119840110.2,Not,i like her
13,119840111.2,Edgwired,also Salmun Rushdie
13,119840116.6,Edgwired,what types of books?
13,119840136.8,Not,murder
13,119840192.1,Edgwired,I used to read Anne Rice
13,119840195.7,Edgwired,but that was ages ago
13,119840232.1,Not,i really dont read alot at all... but i really like iris johensen so i read her books
13,119840240.5,Edgwired,how did you pick her up?
13,119840308.2,Not,well one day befor work i wanted a book cuz i have like 2hours free at work so i was at my friends house and his mom had one of her books so i took it to work and loved it
13,119840337.5,Edgwired,nice
13,119840379.6,Not,yeah
13,119840385.9,Edgwired,ok
13,119840390.3,Edgwired,i'm off for the night'
13,119840393.8,Edgwired,enjoy your night
13,119840395.5,Not,oh ok
13,119840398.9,Not,thanks
13,119840402.9,Edgwired,laters
13,119840403.5,Not,you too
13,119840405.7,Not,night
14,120678404.1,Not,who is this?
15,121033395.9,Not,hey
15,121033410.3,Edgwired,hi
15,121033421.4,Not,who is this again?
15,121033425.4,Edgwired,mikee
15,121033482.8,Not,how do i know you?
15,121033489.8,Edgwired,manhunt?
15,121033503.9,Not,whats your name on there?
15,121033509.5,Edgwired,neocyde
15,121033546.6,Not,oh yea!!!!
15,121033595.1,Not,whats up?
15,121033608,Edgwired,my friend is about to show up from dc
15,121033642.1,Not,thats kool
15,121033651.6,Edgwired,what's up with you?'
15,121033680.2,Not,nothin at all trying to kill time befor work
15,121033751.2,Edgwired,what time do you work?
15,121033819.9,Not,6:30 ish
15,121033836.9,Edgwired,lots of time to kill
15,121033866.3,Not,yeah tell me about it
16,120886217.8,Edgwired,peekaboo
17,131653730.7,Edgwired,"Al, hit me up when you get back"
17,131653900.1,Not,hey!
17,131653914.6,Not,i tried to call ya but your phone is off?
17,131653925.6,Edgwired,215.964.0242
17,131653938.4,Not,hmm then i have the wrong # for u
17,131653946.8,Not,should i call ya?
17,131653989.9,Edgwired,sure
17,131654010.8,Not,k rrriiingggg
18,107810696,Not,y0
18,107810705.6,Edgwired,howzit chief
18,107810717.2,Not,its goin...
18,107810720.8,Not,so whats up?
18,107810728.9,Edgwired,i'm going to head over to Maria''s tonight'
18,107810740.4,Edgwired,she wasn't sure that you two knew that i wanted to be the fourth roommate'
18,107810748.3,Edgwired,so she thought we should talk about it
18,107810752.2,Not,ahhhh no actually i dont think we did
18,107810774.2,Not,i mean i told maria on the boat that we had someone who had asked before she had
18,107810781.5,Not,this girl kristen
18,107810792,Not,but im not sure if imri wants her to move in or not
18,107810841.1,Edgwired,"yeah, I think it would work out well if it were the four of us... but i'm not going to fuck up ya''ll plans'"
18,107810847.7,Edgwired,it's cool either way'
18,107810868.6,Edgwired,basically it's like this'
18,107810885.8,Edgwired,"if you and imri were good with it, maria and i could pretty much commit to moving in"
18,107810887.6,Edgwired,and
18,107810892.9,Edgwired,if Wes needs to stay two more weeks
18,107810895.8,Edgwired,then that's cool too'
18,107810901.9,Edgwired,because i'm not on a schedule to move really'
18,107810908.8,Edgwired,just would like to get back into the city
18,107810912.4,Edgwired,to make the job easier
18,107810984.3,Edgwired,i already respect the both of you enough to be sure for myself
18,107810999,Not,why would wes need to stay?
18,107811007.5,Not,i am confused about wes's situation'
18,107811011.4,Edgwired,that i do not know
18,107811018.1,Edgwired,she mentioned it this morning
18,107811022,Not,"he was intent on leaving, as was i, but I had to ixnay the last minute"
18,107811027.8,Edgwired,yeah
18,107811035.3,Edgwired,i think maybe just until the 1st of August for him?
18,107811045,Not,"yeah perhaps wes should talk with us about it, but he's been moody'"
18,107811058.2,Not,well he has till the 31st of july to move
18,107811058.9,Edgwired,i've been letting maria take the lead because she''s better at discussing than I'
18,107811064.9,Not,unless he decides he's staying'
18,107811070.4,Edgwired,yeah
18,107811078.5,Edgwired,maria and i were looking for a place together
18,107811088.4,Not,"wich if he does stay, i think it would be odd with maria there..."
18,107811092.5,Not,not that i know anything
18,107811095.5,Not,but i know things
18,107811099.9,Edgwired,LOL
18,107811101.2,Edgwired,no shit
18,107811102.9,Edgwired,well
18,107811106.5,Edgwired,i can pretty much tell you
18,107811111.4,Edgwired,that she would NOT live with Wes
18,107811120.3,Edgwired,not because they have problems
18,107811125,Edgwired,but just because
18,107811130,Edgwired,too early maybe
18,107811135.3,Not,hehe no need to explain that
18,107811155.5,Not,"if wes will even talk to me, ill have a chat with him and imri tonight..."
18,107811172,Not,"thing is, if juan is the only one moving, i dont think we will take on another roomate"
18,107811177.6,Edgwired,right
18,107811186.1,Edgwired,that's good chief'
18,107811208.4,Not,"but ill let imri know u were interested, and once we discuss things with wes, we'll have a better idea'"
18,107811216.6,Edgwired,k
18,107811222.5,Edgwired,thanks for letting me know
18,107811232.3,Edgwired,i'm good with it being up in the air for a while'
18,107811233.1,Edgwired,but
18,107811236.2,Edgwired,it will be nice to know
18,107811262.1,Not,i hear ya
18,107811267.6,Not,"ok, back to work for me"
18,107811269.8,Edgwired,k
18,107811270.6,Edgwired,laters
18,107811272.5,Edgwired,enjoy
19,109531657.9,Not,hey mike u there?
19,109531662.3,Edgwired,yup
19,109531664.1,Edgwired,what's up chief'
19,109531670.2,Not,i got ur PM
19,109531673.7,Edgwired,oh good
19,109531684,Not,i was wondering why imri didnt tell u how much rent would be
19,109531689.3,Edgwired,no idea
19,109531693.4,Edgwired,it's always been'
19,109531697,Edgwired,400ish
19,109531701.8,Not,ok
19,109531708.1,Not,well here is the exact breakdown
19,109531717.7,Not,the room i currently reside in will be vacant
19,109531724.8,Edgwired,k
19,109531730.9,Not,it is the cheapest room
19,109531737.9,Not,the room wes resides in
19,109531742,Not,is more expensive
19,109531757.4,Not,the rent will be $385 and $455 respectively
19,109531759.7,Not,for each room
19,109531766.4,Edgwired,ok
19,109531771.5,Not,"u need 1st, last, and security to move in"
19,109531783.5,Not,"so depending on which room u take, that decides the price"
19,109531788.4,Edgwired,ok
19,109531793.3,Edgwired,thanks for the info
19,109531800,Not,i guess maria would have first dibbs
19,109531805.4,Not,because she asked first
19,109531812.1,Edgwired,she does
19,109531814.7,Edgwired,we talked about it
19,109531822.7,Edgwired,which room are you going to take?
19,109531826.4,Not,Juans
19,109531829,Edgwired,ok
19,109531842.5,Edgwired,she was just concerned about music late at night
19,109531850,Not,OMG
19,109531852.9,Not,well
19,109531863.7,Not,Imri has no respect for anyone as far as that goes
19,109531867.5,Not,so good luck!
19,109531870.3,Edgwired,haha
19,109531871.1,Edgwired,right
19,109531873.3,Edgwired,i told her
19,109531878.3,Edgwired,she needs to take the opposite room
19,109531880.5,Edgwired,of wherever he is
19,109531890.8,Not,"honestly, i would have moved out if i had the money"
19,109531892.6,Not,i am stuck
19,109531895,Edgwired,man
19,109531908.6,Edgwired,i've been there'
19,109531910.6,Edgwired,many times
19,109531916.8,Edgwired,so
19,109531929.3,Edgwired,are you still considering those other people??
19,109531930.9,Edgwired,ha
19,109531933.9,Edgwired,one question mark
19,109531935.3,Not,there are no other people
19,109531936.4,Not,heheh
19,109531941.7,Edgwired,OH
19,109531947.5,Edgwired,my mistake
19,109531953.1,Not,"about two months ago, i entertained my brother as a possibility"
19,109531961.9,Not,"and before we even agreed i was staying, i ruled that out"
19,109531972.1,Not,"then, a girl named kristin wanted to move in"
19,109531986.8,Not,"imri did not want her to, because she is young"
19,109531994.9,Edgwired,ok
19,109532005.5,Not,i had wanted my girlfriend to live there
19,109532011.3,Not,but imri doesnt want that either
19,109532026.3,Edgwired,ok
19,109532029.9,Edgwired,so
19,109532034.9,Edgwired,maria is coming over to swim in a minute
19,109532043.2,Edgwired,can i just tell her that we should get this arranged?
19,109532073.5,Edgwired,we talked to Imri about it last week
19,109532085.6,Edgwired,and he was cool with it as long as we talked to you
19,109532196.6,Edgwired,what i'm really trying to decide is how much money i can put on this party this weekend'
19,109532207,Edgwired,and still come out well enough to buy furniture
19,109532627.8,Edgwired,"haha, my friend Dan says that he's listened to Breakdown 3 well over a hundred times and he wants a new one.'"
19,109532686.3,Not,haha hey
19,109532690.1,Not,sorry someone came in
19,109532693.4,Not,im at work sooo
19,109532695.4,Not,anyways
19,109532696.4,Edgwired,yeah
19,109532697.2,Edgwired,np
19,109532716.6,Not,yeah so i guess it comes out to either 1155 for my old room
19,109532724.4,Not,or 1375 for wes's'
19,109532736.1,Edgwired,ok
19,109532742.7,Not,i have to double check on the rent for wes's room tho'
19,109532750.6,Not,but i believe he's been paying 445 a month'
19,109532754.9,Not,but rent goes up this year
19,109532760.1,Not,so it will be 455 a month
19,109532766.8,Edgwired,ok
19,109532770.2,Edgwired,i've got that down'
19,109532773.8,Edgwired,that's definitely good to know'
19,109532781.1,Edgwired,going to take the month to put it together
19,109532788.4,Not,im assuming maria would take wes's old room?'
19,109532795.7,Edgwired,most likely
19,109532900.2,Not,u know anyone else looking for a place besides you two?
19,109532905.1,Not,i am just curious
19,109532922.7,Edgwired,"um, i've had a few people express interest'"
19,109532925,Edgwired,but nothing firm
19,109532929.8,Not,werd
20,103416225.2,Edgwired,Happy Easter
20,103416244.9,Not,happy easter...whats happening?
20,103416257.6,Edgwired,"not much chief, just landed back at home from dinner with my father's inlaws'"
20,103416261,Edgwired,what' s up with you?'
20,103416309.8,Not,not much....just checkin up on the emory baseball team.....they are having a really good season.
20,103416314.3,Not,hows life?
20,103416321.7,Edgwired,pretty good
20,103416326.7,Edgwired,i turned down those jobs in Japan
20,103416344.9,Not,pat was telling me about those....whats the story?
20,103416354.6,Edgwired,bad timing for grad school
20,103416357.9,Edgwired,among other things
20,103416368.8,Not,are you applying to grad schools?
20,103416374.1,Edgwired,this year i hope
20,103416378.5,Edgwired,i have to get a portfolio together
20,103416393,Not,portfolio? what are you going to school for?
20,103416396.6,Edgwired,Art
20,103416406.1,Not,awesome......what a re you thinking about
20,103416420,Edgwired,probably coding graphics
20,103416430.2,Edgwired,but i'm not tied to it yet'
20,103416439.7,Edgwired,tough to say which school i could get in
20,103416445,Not,so sort of like what your doing now?
20,103416464.6,Edgwired,"yup, except doing it for real instead of bullshitting"
20,103416466.5,Not,or are you thinking video game type stuff?
20,103416476.8,Edgwired,more tool based
20,103416477.9,Edgwired,like
20,103416483.2,Edgwired,creating ways to visualize sound
20,103416498.8,Not,thats cool.....hows the job now going?
20,103416506.6,Edgwired,very well
20,103416509.1,Edgwired,we have money
20,103416517,Edgwired,and i decided after the interviews that i'm pretty happy with it'
20,103416522.9,Not,thats always a plus.....hows the selling coming?
20,103416536.9,Not,the japan interviews?
20,103416540,Edgwired,they're good on the investment side and horrible with the marketing'
20,103416541,Edgwired,yup
20,103416575.4,Not,yeah that can be tough.....but its all just selling themselves right?
20,103416613,Edgwired,that's what they''re pretty good at.. i think the retail strategy is dumb though... my opinion is that we should start with big institutional licenses and then sell to individuals'
20,103416654.3,Not,yeah thats probably true. just as long as they keep paying YOU thats all that matters........at this point
20,103416659.3,Edgwired,HA
20,103416660.1,Edgwired,right
20,103416671.9,Edgwired,they said they would break their lease at the office before they stopped paying me and Gonzo
20,103416681.1,Edgwired,so even if we do run out of money
20,103416685.8,Edgwired,i'll have a little bit of a heads up'
20,103416697.2,Not,nice....whos gonzo?
20,103416702.3,Edgwired,the network admin
20,103416708.8,Edgwired,how's it going with school for you?'
20,103416712.5,Edgwired,you're almost done right?'
20,103416728.6,Not,its going alright....yup almost done....thank the good lord
20,103416732.4,Edgwired,heh
20,103416767.8,Not,four more weeks......i am really looking forward to this summer......well i am really looking forward to not going to PSTCC anymore
20,103416773.7,Edgwired,awww
20,103416775.7,Edgwired,you know
20,103416782.3,Edgwired,i'm taking a class there next month'
20,103416793.2,Not,via the internet?
20,103416795.7,Edgwired,nope
20,103416798.8,Edgwired,coming home for the weekend
20,103416812.7,Not,"cool, i didn't know that.....whats the class?'"
20,103416818.5,Edgwired,motorcycle safety
20,103416825.3,Not,your a dumbass
20,103416827.8,Edgwired,HAH
20,103416829.4,Edgwired,nah
20,103416834.4,Edgwired,it's going to be great'
20,103416836.8,Not,do you have a bike?
20,103416839.2,Edgwired,not yet
20,103416841,Edgwired,post class
20,103416848.8,Not,i am very happy your taking the class.
20,103416850.7,Edgwired,i'm getting my tax return'
20,103416853.1,Edgwired,well
20,103416860,Not,yeah that will be sweet
20,103416860.4,Edgwired,taking the class saves me from taking the test at the DMV
20,103416868.7,Not,thats also a plus
20,103416873.6,Edgwired,right
20,103416879.3,Edgwired,i can't wait'
20,103416884.5,Edgwired,will you be around?
20,103416888.8,Not,when is the class?
20,103416894.1,Edgwired,First weekend in may
20,103416896.6,Edgwired,7-9th
20,103416907.6,Not,yeah i'll be here. thats right before the end of class'
20,103416914.1,Edgwired,do you have finals?
20,103416926.8,Not,"yeah, but i'll be around'"
20,103416936.9,Edgwired,have you taken the MCATs?
20,103416951.4,Not,"not yet, next weekend."
20,103416958.2,Edgwired,whoa
20,103416963.1,Edgwired,well
20,103416967.2,Edgwired,i'll put in a prayer for you'
20,103416976.9,Not,i'm gonna need all i can get'
20,103416999.9,Not,i can take it in august as well. so i'm not overly stressed'
20,103417007.3,Edgwired,best way to be
20,103417018.8,Not,still sucks ass though,
20,103417021.5,Edgwired,heh,
20,103417029.3,Edgwired,have you taken a class or anything for them>?,
20,103417058,Not,yeah....kaplan. but i haven't had much time to prepare,);
20,103417083.3,Edgwired,so you're going into it on blind faith or is this a week of cramming?',
20,103417106.3,Not,i'll be reading this week,);
20,103417111.6,Edgwired,good plan,
20,103417113.8,Edgwired,i'd say',
20,103417114.2,Not,its not real worth it,
20,103417116.5,Edgwired,blind faith,
20,103417118.1,Edgwired,is enough,
20,103417133.6,Not,so what else is going on up north?,
20,103417140.5,Edgwired,hmmm,
20,103417145.2,Not,got any big plans for the summer?,
20,103417150.2,Edgwired,just the bike,
20,103417156.6,Edgwired,maybe,
20,103417158.5,Edgwired,a few trips
20,103417175.4,Not,are you thinking about headen down to see noah at all?
20,103417182.5,Edgwired,it's been on my list'
20,103417184.3,Edgwired,for a while
20,103417192,Edgwired,last month he didn't know if he was staying'
20,103417198.1,Not,"yeah, same here......i just have to find some money someplace"
20,103417201.5,Edgwired,exactly
20,103417210,Edgwired,i really do want to go
20,103417214.9,Edgwired,my newest idea
20,103417220.2,Edgwired,is to start looking into miami
20,103417226.7,Not,living?
20,103417229.4,Edgwired,yup
20,103417234.9,Edgwired,it's the cheapest city i can find'
20,103417239.4,Edgwired,so far
20,103417250.8,Not,your not searching very hard.
20,103417253.5,Edgwired,HA
20,103417255,Edgwired,well
